IDENTIFIER,VALUE,PUBLIC_ID
getNextPvId(),MM/dd/yyyy,date_format
getNextPvId(),MM-dd-yyyy,date_format
getNextPvId(),MM.dd.yyyy,date_format
getNextPvId(),dd/MM/yyyy,date_format
getNextPvId(),dd-MM-yyyy,date_format
getNextPvId(),dd.MM.yyyy,date_format
getNextPvId(),yyyy/MM/dd,date_format
getNextPvId(),yyyy-MM-dd,date_format
getNextPvId(),yyyy.MM.dd,date_format
getNextPvId(),dd/MM/yy,date_format
getNextPvId(),dd-MM-yy,date_format
getNextPvId(),dd.MM.yy,date_format
getNextPvId(),dd MMM yyyy,date_format
getNextPvId(),d MMM yyyy,date_format
getNextPvId(),dd.MMM.yyyy,date_format
